D1y,Hour,Minute,v1r1(t-4),v1r2(t-4),v1r3(t-4),v1r4(t-4),v1r5(t-4),v1r1(t-3),v1r2(t-3),v1r3(t-3),v1r4(t-3),v1r5(t-3),v1r1(t-2),v1r2(t-2),v1r3(t-2),v1r4(t-2),v1r5(t-2),v1r1(t-1),v1r2(t-1),v1r3(t-1),v1r4(t-1),v1r5(t-1),v1r1(t),v1r2(t),v1r3(t),v1r4(t),v1r5(t),target
6,4,15,69,67,59,67,66,68,62,50,69,68,70,72,67,65,70,64,61,55,63,65,66,65,51,69,69,2
6,4,30,68,62,50,69,68,70,72,67,65,70,64,61,55,63,65,66,65,51,69,69,67,69,66,63,68,2
6,4,45,70,72,67,65,70,64,61,55,63,65,66,65,51,69,69,67,69,66,63,68,68,66,41,62,63,1
6,5,0,64,61,55,63,65,66,65,51,69,69,67,69,66,63,68,68,66,41,62,63,72,70,34,64,63,1
6,5,15,66,65,51,69,69,67,69,66,63,68,68,66,41,62,63,72,70,34,64,63,72,69,47,69,74,1
6,5,30,67,69,66,63,68,68,66,41,62,63,72,70,34,64,63,72,69,47,69,74,73,72,0,65,65,1
6,5,45,68,66,41,62,63,72,70,34,64,63,72,69,47,69,74,73,72,0,65,65,73,69,42,64,67,1
6,6,0,72,70,34,64,63,72,69,47,69,74,73,72,0,65,65,73,69,42,64,67,71,71,62,72,73,1
6,6,15,72,69,47,69,74,73,72,0,65,65,73,69,42,64,67,71,71,62,72,73,71,69,42,68,73,2
6,6,30,73,72,0,65,65,73,69,42,64,67,71,71,62,72,73,71,69,42,68,73,68,66,13,65,68,1
6,6,45,73,69,42,64,67,71,71,62,72,73,71,69,42,68,73,68,66,13,65,68,70,68,74,65,63,1
6,7,0,71,71,62,72,73,71,69,42,68,73,68,66,13,65,68,70,68,74,65,63,71,70,56,66,65,1
6,7,15,71,69,42,68,73,68,66,13,65,68,70,68,74,65,63,71,70,56,66,65,74,71,60,72,74,1
6,7,30,68,66,13,65,68,70,68,74,65,63,71,70,56,66,65,74,71,60,72,74,67,67,60,70,71,1
6,7,45,70,68,74,65,63,71,70,56,66,65,74,71,60,72,74,67,67,60,70,71,70,69,63,70,71,1
6,8,0,71,70,56,66,65,74,71,60,72,74,67,67,60,70,71,70,69,63,70,71,73,70,64,68,67,1
