D1y,Hour,Minute,v1r1(t-9),v1r1(t-8),v1r1(t-7),v1r1(t-6),v1r1(t-5),v1r1(t-4),v1r1(t-3),v1r1(t-2),v1r1(t-1),v1r1(t),target
6,23,30,62,60,62,63,62,63,65,62,65,63,1
6,23,45,60,62,63,62,63,65,62,65,63,59,1
0,0,0,62,63,62,63,65,62,65,63,59,58,1
0,0,15,63,62,63,65,62,65,63,59,58,60,1
0,0,30,62,63,65,62,65,63,59,58,60,68,1
0,0,45,63,65,62,65,63,59,58,60,68,61,2
0,1,0,65,62,65,63,59,58,60,68,61,62,3
0,1,15,62,65,63,59,58,60,68,61,62,63,2
0,1,30,65,63,59,58,60,68,61,62,63,51,2
0,1,45,63,59,58,60,68,61,62,63,51,36,2
0,2,0,59,58,60,68,61,62,63,51,36,51,1
0,2,15,58,60,68,61,62,63,51,36,51,50,2
0,2,30,60,68,61,62,63,51,36,51,50,59,2
0,2,45,68,61,62,63,51,36,51,50,59,62,2
0,3,0,61,62,63,51,36,51,50,59,62,46,2
0,3,15,62,63,51,36,51,50,59,62,46,51,2
0,3,30,63,51,36,51,50,59,62,46,51,51,2
0,3,45,51,36,51,50,59,62,46,51,51,53,2
0,4,0,36,51,50,59,62,46,51,51,53,47,2
0,4,15,51,50,59,62,46,51,51,53,47,45,2
0,4,30,50,59,62,46,51,51,53,47,45,59,1
0,4,45,59,62,46,51,51,53,47,45,59,58,1
0,5,0,62,46,51,51,53,47,45,59,58,56,1
0,5,15,46,51,51,53,47,45,59,58,56,87,1
0,5,30,51,51,53,47,45,59,58,56,87,74,1
0,5,45,51,53,47,45,59,58,56,87,74,76,1
0,6,0,53,47,45,59,58,56,87,74,76,66,1
0,6,15,47,45,59,58,56,87,74,76,66,65,1
0,6,30,45,59,58,56,87,74,76,66,65,66,1
0,6,45,59,58,56,87,74,76,66,65,66,65,1
0,7,0,58,56,87,74,76,66,65,66,65,64,2
0,7,15,56,87,74,76,66,65,66,65,64,63,1
0,7,30,87,74,76,66,65,66,65,64,63,62,1
0,7,45,74,76,66,65,66,65,64,63,62,59,2
0,8,0,76,66,65,66,65,64,63,62,59,61,2
0,8,15,66,65,66,65,64,63,62,59,61,60,1
0,8,30,65,66,65,64,63,62,59,61,60,57,2
0,8,45,66,65,64,63,62,59,61,60,57,58,2
0,9,0,65,64,63,62,59,61,60,57,58,60,2
0,9,15,64,63,62,59,61,60,57,58,60,56,2
0,9,30,63,62,59,61,60,57,58,60,56,57,1
0,9,45,62,59,61,60,57,58,60,56,57,56,2
0,10,0,59,61,60,57,58,60,56,57,56,58,2
0,10,15,61,60,57,58,60,56,57,56,58,60,2
0,10,30,60,57,58,60,56,57,56,58,60,57,2
0,10,45,57,58,60,56,57,56,58,60,57,58,2
0,11,0,58,60,56,57,56,58,60,57,58,59,2
0,11,15,60,56,57,56,58,60,57,58,59,58,1
0,11,30,56,57,56,58,60,57,58,59,58,58,1
0,11,45,57,56,58,60,57,58,59,58,58,59,2
0,12,0,56,58,60,57,58,59,58,58,59,61,2
0,12,15,58,60,57,58,59,58,58,59,61,61,1
0,12,30,60,57,58,59,58,58,59,61,61,59,2
0,12,45,57,58,59,58,58,59,61,61,59,59,1
0,13,0,58,59,58,58,59,61,61,59,59,60,1
0,13,15,59,58,58,59,61,61,59,59,60,59,1
0,13,30,58,58,59,61,61,59,59,60,59,61,1
0,13,45,58,59,61,61,59,59,60,59,61,61,2
0,14,0,59,61,61,59,59,60,59,61,61,62,1
0,14,15,61,61,59,59,60,59,61,61,62,60,1
0,14,30,61,59,59,60,59,61,61,62,60,59,2
0,14,45,59,59,60,59,61,61,62,60,59,60,2
0,15,0,59,60,59,61,61,62,60,59,60,61,1
0,15,15,60,59,61,61,62,60,59,60,61,59,2
0,15,30,59,61,61,62,60,59,60,61,59,59,2
0,15,45,61,61,62,60,59,60,61,59,59,61,2
0,16,0,61,62,60,59,60,61,59,59,61,59,1
0,16,15,62,60,59,60,61,59,59,61,59,59,2
0,16,30,60,59,60,61,59,59,61,59,59,58,1
0,16,45,59,60,61,59,59,61,59,59,58,60,2
0,17,0,60,61,59,59,61,59,59,58,60,59,3
0,17,15,61,59,59,61,59,59,58,60,59,60,3
0,17,30,59,59,61,59,59,58,60,59,60,57,2
0,17,45,59,61,59,59,58,60,59,60,57,22,2
0,18,0,61,59,59,58,60,59,60,57,22,19,2
0,18,15,59,59,58,60,59,60,57,22,19,59,2
0,18,30,59,58,60,59,60,57,22,19,59,58,2
0,18,45,58,60,59,60,57,22,19,59,58,56,2
0,19,0,60,59,60,57,22,19,59,58,56,57,2
0,19,15,59,60,57,22,19,59,58,56,57,57,2
0,19,30,60,57,22,19,59,58,56,57,57,58,2
0,19,45,57,22,19,59,58,56,57,57,58,58,2
0,20,0,22,19,59,58,56,57,57,58,58,58,2
0,20,15,19,59,58,56,57,57,58,58,58,59,1
0,20,30,59,58,56,57,57,58,58,58,59,58,1
0,20,45,58,56,57,57,58,58,58,59,58,59,1
0,21,0,56,57,57,58,58,58,59,58,59,60,1
0,21,15,57,57,58,58,58,59,58,59,60,60,1
0,21,30,57,58,58,58,59,58,59,60,60,60,1
0,21,45,58,58,58,59,58,59,60,60,60,60,1
0,22,0,58,58,59,58,59,60,60,60,60,63,1
0,22,15,58,59,58,59,60,60,60,60,63,61,1
